Z^2;;;p-value;;;
0;;;> 0.50;;;
0,614495976;0,4331;;0,433;;;
0,614763192;0,433;;0,433;;;
0,615030501;0,4329;;0,433;;;
0,615297904;0,4328;;0,433;;;
0,615565402;0,4327;;0,433;;;
0,615832993;0,4326;;0,433;;;
0,616100678;0,4325;;0,433;;;
0,616368457;0,4324;;0,432;;;
0,61663633;0,4323;;0,432;;;
0,616904297;0,4322;;0,432;;;
0,617172358;0,4321;;0,432;;;
0,617440514;0,432;;0,432;;;
0,617708764;0,4319;;0,432;;;
0,617977108;0,4318;;0,432;;;
0,618245546;0,4317;;0,432;;;
0,618514078;0,4316;;0,432;;;
0,618782705;0,4315;;0,432;;;
0,619051427;0,4314;;0,431;;;
0,619320243;0,4313;;0,431;;;
0,619589153;0,4312;;0,431;;;
0,619858158;0,4311;;0,431;;;
0,620127258;0,431;;0,431;;;
0,620396452;0,4309;;0,431;;;
0,620665741;0,4308;;0,431;;;
0,620935124;0,4307;;0,431;;;
0,621204602;0,4306;;0,431;;;
0,621474175;0,4305;;0,431;;;
0,621743843;0,4304;;0,430;;;
0,622013606;0,4303;;0,430;;;
0,622283464;0,4302;;0,430;;;
0,622553416;0,4301;;0,430;;;
0,622823464;0,43;;0,430;;;
0,623093607;0,4299;;0,430;;;
0,623363845;0,4298;;0,430;;;
0,623634177;0,4297;;0,430;;;
0,623904606;0,4296;;0,430;;;
0,624175129;0,4295;;0,430;;;
0,624445747;0,4294;;0,429;;;
0,624716461;0,4293;;0,429;;;
0,62498727;0,4292;;0,429;;;
0,625258175;0,4291;;0,429;;;
0,625529175;0,429;;0,429;;;
0,62580027;0,4289;;0,429;;;
0,626071461;0,4288;;0,429;;;
0,626342747;0,4287;;0,429;;;
0,626614129;0,4286;;0,429;;;
0,626885607;0,4285;;0,429;;;
0,62715718;0,4284;;0,428;;;
0,627428849;0,4283;;0,428;;;
0,627700614;0,4282;;0,428;;;
0,627972475;0,4281;;0,428;;;
0,628244431;0,428;;0,428;;;
0,628516483;0,4279;;0,428;;;
0,628788632;0,4278;;0,428;;;
0,629060876;0,4277;;0,428;;;
0,629333216;0,4276;;0,428;;;
0,629605652;0,4275;;0,428;;;
0,629878184;0,4274;;0,427;;;
0,630150813;0,4273;;0,427;;;
0,630423537;0,4272;;0,427;;;
0,630696358;0,4271;;0,427;;;
0,630969275;0,427;;0,427;;;
0,631242288;0,4269;;0,427;;;
